"Show email to friend","Show email to friend"
"Show email to friend button.","Show email to friend button."
"Show reviews section.","Show reviews section."
"Show product short description","Show product short description"
"Show product short description section.","Show product short description section."
"Show related products","Show related products"
"Show related products section.","Show related products section."
"Related products count","Related products count"
"Specify the number of related products.","Specify the number of related products."
"Related image width","Related image width"
"Related image width in pixels.","Related image width in pixels."
"Related image height","Related image height"
"Related image height in pixels.","Related image height in pixels."
"Show related checkbox","Show related checkbox"
"Show related checkbox ""Add to Cart"".","Show related checkbox ""Add to Cart""."
"Show upsell products","Show upsell products"
"Show upsell products section.","Show upsell products section."
"Upsell products count","Upsell products count"
"Specify the number of upsell products.","Specify the number of upsell products."
"Upsell image width","Upsell image width"
"Upsell image width in pixels.","Upsell image width in pixels."
"Upsell image height","Upsell image height"
"Upsell image height in pixels.","Upsell image height in pixels."
"Tabs section","Tabs section"
"Show description","Show description"
"Show description tab.","Show description tab."
"Description tab title","Description tab title"
"Input tab title for description tab.","Input tab title for description tab."
"Show additional","Show additional"
"Show additional information tab.","Show additional information tab."
"Additional tab title","Additional tab title"
"Input tab title for additional tab.","Input tab title for additional tab."
"Show reviews tab.","Show reviews tab."
"Reviews tab title","Reviews tab title"
"Input tab title for reviews tab.","Input tab title for reviews tab."
"Gallery settings","Gallery settings"
"Thumbnail image width in pixels.","Thumbnail image width in pixels."
Header,Header
"Sticky menu","Sticky menu"
"Enable/disable sticky menu.","Enable/disable sticky menu."
"Social links","Social links"
"Show social links","Show social links"
"Enable/disable social links.","Enable/disable social links."
"Social icons","Social icons"
"Set social icons.","Set social icons."
"Social links position","Social links position"
"Set position for Social links in header.","Set position for Social links in header."
Footer,Footer
Sidebar,Sidebar
"Show Wishlist","Show Wishlist"
"Show/Hide Wishlist block.","Show/Hide Wishlist block."
"Show Compare","Show Compare"
"Show/Hide Compare block.","Show/Hide Compare block."
"Show Recently Viewed Products","Show Recently Viewed Products"
"Show/Hide Recently Viewed block. Make sure, that the widget was created.","Show/Hide Recently Viewed block. Make sure, that the widget was created."
"Show Recently Compared Products","Show Recently Compared Products"
"Show/Hide Recently Compared block. Make sure, that the widget was created.","Show/Hide Recently Compared block. Make sure, that the widget was created."
"Show My Orders","Show My Orders"
"Show/Hide My Orders block.","Show/Hide My Orders block."
"We can't find products matching the selection.","Nu exista produse."
"Are you sure you would like to remove this item from the shopping cart?","Sunteti sigur ca doriti sa scoateti produsul din cos?"
"Attention"."Atentie"
"We can't find the quote item.", "Produsul nu se mai afla in cos."
"You added %1 to your shopping cart.","Ai adaugat %1 in cos."
"Review & Payments","Plata"
"Shipping","Livrare"
"Place Order","Comanda"
"You can track your order status by creating an account.","Poti urmari comanda daca iti inregistrezi contul."
"We\'ll email you an order confirmation with details and tracking info.","Iti vom trimite un email de confirmare in cel mai scurt timp."
"Email Address","Adresa de email"
"Create an Account","Creeaza-ti cont"
"Order # %1","Comanda # %1"
"Items Ordered",""
"Product Name","Produs"
"Date","Data"
"Order","Comanda"
"Price","Pret"
"Back to My Orders", "Inapoi"
"Subtotal","Total"
"Order Information","Informatii"
"Shipping Method","Metoda de livrare"
"Select Method","Alege"
"Method Title","Livrare"
"Ship To:","Adresa Livrare"
"Shipping Methods",""
"Shipping Method:","Metoda de livrare"
"Forgot Your Password?","Ai uitat parola?"
"Status","Stare"
"Actions","Actiune"
"Too many password reset requests. Please wait and try again or contact %1.","Prea multe cereri de resetare a parolei. Incearca mai tarziu sau contacteaza-ne la %1."
"Set a New Password","Alege o parola noua"
"Forgot Your Password?","Ai uitat parola?"
"Forgot Your Password","Ai uitat parola"
"You can create an account after checkout.","Poti crea un cont dupa plasarea comenzii"
"Your order number is: %1.","Numarul comenzii tale este: %1."
"Your order # is: <span>%1</span>.","Numarul comenzii tale este: <span>%1</span>."
